HB,HBName,Slope,Intercept,R2,diff2009_2021
S08000015,Ayrshire and Arran,21,-42000,0.58,273
S08000016,Borders,7.4,-14000,0.37,96
S08000017,Dumfries and Galloway,-10,22000,0.6,130
S08000029,Fife,2.8,-5000,0.093,36
S08000019,Forth Valley,16,-33000,0.45,208
S08000020,Grampian,-12,24000,0.77,156
S08000031,Greater Glasgow and Clyde,30,-60000,0.85,390
S08000022,Highland,6.8,-13000,0.48,88
S08000032,Lanarkshire,13,-26000,0.37,169
S08000024,Lothian,-8.6,18000,0.73,112
S08000030,Tayside,-3.2,7000,0.27,42
,Islands,-0.99,2400,0.0083,13