CA,CAName,CADateEnacted,CADateArchived
S12000005,Clackmannanshire,19960401,
S12000006,Dumfries and Galloway,19960401,
S12000008,East Ayrshire,19960401,
S12000010,East Lothian,19960401,
S12000011,East Renfrewshire,19960401,
S12000013,Na h-Eileanan Siar,19960401,
S12000014,Falkirk,19960401,
S12000017,Highland,19960401,
S12000018,Inverclyde,19960401,
S12000019,Midlothian,19960401,
S12000020,Moray,19960401,
S12000021,North Ayrshire,19960401,
S12000023,Orkney Islands,19960401,
S12000026,Scottish Borders,19960401,
S12000027,Shetland Islands,19960401,
S12000028,South Ayrshire,19960401,
S12000029,South Lanarkshire,19960401,
S12000030,Stirling,19960401,
S12000033,Aberdeen City,20020601,
S12000034,Aberdeenshire,20020601,
S12000035,Argyll and Bute,20020601,
S12000036,City of Edinburgh,20020601,
S12000038,Renfrewshire,20020601,
S12000039,West Dunbartonshire,20020601,
S12000040,West Lothian,20020601,
S12000041,Angus,20100401,
S12000042,Dundee City,20100401,
S12000045,East Dunbartonshire,20110401,
S12000047,Fife,20180202,
S12000048,Perth and Kinross,20180202,
S12000049,Glasgow City,20190401,
S12000050,North Lanarkshire,20190401,
,,,
S12000015,Fife,19960401,20180201
S12000024,Perth and Kinross,19960401,20180201
S12000044,North Lanarkshire,20100401,20190331
S12000046,Glasgow City,20110401,20190331